AKT1	AKT serine/threonine kinase 1
TRPM7	transient receptor potential cation channel subfamily M member 7
SLC2A9	solute carrier family 2 member 9
CXCL16	C-X-C motif chemokine ligand 16
MIR143	microRNA 143
hsa-mir-143
ACP1	acid phosphatase 1, soluble
ADRA2B	adrenoceptor alpha 2B
ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
CLDN4	claudin 4
DEFA1	defensin alpha 1
DIO2	iodothyronine deiodinase 2
DLG4	discs large MAGUK scaffold protein 4
ESRRA	estrogen related receptor alpha
FABP1	fatty acid binding protein 1
FABP3	fatty acid binding protein 3
FAP	fibroblast activation protein alpha
FOXC2	forkhead box C2
FTH1	ferritin heavy chain 1
GAD2	glutamate decarboxylase 2
GATA6	GATA binding protein 6
GLB1	galactosidase beta 1
GLO1	glyoxalase I
HCRT	hypocretin neuropeptide precursor
HNRNPD	heterogeneous nuclear ribonucleoprotein D
IGFBP5	insulin like growth factor binding protein 5
IGFBP7	insulin like growth factor binding protein 7
KCNJ5	potassium voltage-gated channel subfamily J member 5
KLK1	kallikrein 1
LGALS9	galectin 9
MEF2C	myocyte enhancer factor 2C
MGP	matrix Gla protein
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
MTNR1B	melatonin receptor 1B
OSM	oncostatin M
PLTP	phospholipid transfer protein
MAPK7	mitogen-activated protein kinase 7
PYY	peptide YY
RGS2	regulator of G protein signaling 2
SCD	stearoyl-CoA desaturase
SLC3A2	solute carrier family 3 member 2
SLC12A3	solute carrier family 12 member 3
SLC16A1	solute carrier family 16 member 1
STX1A	syntaxin 1A
TIAM1	T-cell lymphoma invasion and metastasis 1
TYK2	tyrosine kinase 2
UCP1	uncoupling protein 1
USF1	upstream transcription factor 1
PLA2G6	phospholipase A2 group VI
CYP4F2	cytochrome P450 family 4 subfamily F member 2
LGR5	leucine rich repeat containing G protein-coupled receptor 5
PER3	period circadian clock 3
EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3
ROCK2	Rho associated coiled-coil containing protein kinase 2
ABCG1	ATP binding cassette subfamily G member 1
SPRY2	sprouty RTK signaling antagonist 2
TXNIP	thioredoxin interacting protein
MALT1	MALT1 paracaspase
ICOS	inducible T-cell costimulator
ITCH	itchy E3 ubiquitin protein ligase
MIRLET7A1	microRNA let-7a-1
hsa-let-7a-1
MIR16-1	microRNA 16-1
hsa-mir-16-1
MIR222	microRNA 222
hsa-mir-222
NCF1	neutrophil cytosolic factor 1
CDKN2B-AS1	CDKN2B antisense RNA 1
CDKN2B antisense RNA 1 (non-protein coding)	antisense noncoding RNA in the INK4 locus	p15 antisense RNA	prostate cancer associated transcript 12
BMP6	bone morphogenetic protein 6
CMA1	chymase 1
CYP2J2	cytochrome P450 family 2 subfamily J member 2
CYP7A1	cytochrome P450 family 7 subfamily A member 1
ECE1	endothelin converting enzyme 1
GAD1	glutamate decarboxylase 1
GLI2	GLI family zinc finger 2
HHEX	hematopoietically expressed homeobox
HK2	hexokinase 2
IL9	interleukin 9
ITGA1	integrin subunit alpha 1
KCNA3	potassium voltage-gated channel subfamily A member 3
LBP	lipopolysaccharide binding protein
FADS1	fatty acid desaturase 1
LRP2	LDL receptor related protein 2
NUCB2	nucleobindin 2
P2RY2	purinergic receptor P2Y2
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
PKLR	pyruvate kinase, liver and RBC
PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2
PTPN2	protein tyrosine phosphatase, non-receptor type 2
S100A12	S100 calcium binding protein A12
CXCL5	C-X-C motif chemokine ligand 5
SLC22A1	solute carrier family 22 member 1
SLC22A4	solute carrier family 22 member 4
SOX4	SRY-box 4
TGFBR3	transforming growth factor beta receptor 3
TRPM2	transient receptor potential cation channel subfamily M member 2
NR1H2	nuclear receptor subfamily 1 group H member 2
LIPG	lipase G, endothelial type
FADS2	fatty acid desaturase 2
UTS2	urotensin 2
ATF6	activating transcription factor 6
DROSHA	drosha ribonuclease III
GAL	galanin and GMAP prepropeptide
SIRT6	sirtuin 6
APOM	apolipoprotein M
VTCN1	V-set domain containing T-cell activation inhibitor 1
SERPINA12	serpin family A member 12
ADORA2B	adenosine A2b receptor
AMPD1	adenosine monophosphate deaminase 1
CAMK2G	calcium/calmodulin dependent protein kinase II gamma
CAPN2	calpain 2
CD3E	CD3e molecule
CTSC	cathepsin C
CHRNB2	cholinergic receptor nicotinic beta 2 subunit
CREM	cAMP responsive element modulator
DHCR7	7-dehydrocholesterol reductase
DNASE1	deoxyribonuclease 1
GFER	growth factor, augmenter of liver regeneration
GNAI2	G protein subunit alpha i2
HEXB	hexosaminidase subunit beta
HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
HES1	hes family bHLH transcription factor 1
CFI	complement factor I
IL2RB	interleukin 2 receptor subunit beta
TNFRSF9	TNF receptor superfamily member 9
INPPL1	inositol polyphosphate phosphatase like 1
KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1
KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2
only annotated on alternate loci in reference assembly
KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
LIPE	lipase E, hormone sensitive type
MC3R	melanocortin 3 receptor
MAP3K1	mitogen-activated protein kinase kinase kinase 1
MYLK	myosin light chain kinase
NPPC	natriuretic peptide C
OAS1	2'-5'-oligoadenylate synthetase 1
SERPINB2	serpin family B member 2
PCSK1	proprotein convertase subtilisin/kexin type 1
PEPD	peptidase D
PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
PROX1	prospero homeobox 1
RLN2	relaxin 2
SLC5A1	solute carrier family 5 member 1
TFR2	transferrin receptor 2
TPSAB1	tryptase alpha/beta 1
NR0B2	nuclear receptor subfamily 0 group B member 2
PRDX6	peroxiredoxin 6
NOS1AP	nitric oxide synthase 1 adaptor protein
TLR6	toll like receptor 6
KLF2	Kruppel like factor 2
TOMM40	translocase of outer mitochondrial membrane 40
FST	follistatin
AGR2	anterior gradient 2, protein disulphide isomerase family member
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
CD226	CD226 molecule
MASP2	mannan binding lectin serine peptidase 2
NLRP1	NLR family pyrin domain containing 1
CYCS	cytochrome c, somatic
UGT1A6	UDP glucuronosyltransferase family 1 member A6
CDKAL1	CDK5 regulatory subunit associated protein 1 like 1
CHFR	checkpoint with forkhead and ring finger domains
AKR1B10	aldo-keto reductase family 1 member B10
ADIPOR2	adiponectin receptor 2
LIN28A	lin-28 homolog A
FCRL3	Fc receptor like 3
MIR124-1	microRNA 124-1
hsa-mir-124-1	hsa-mir-124a-1	microRNA 124a-1
MIR375	microRNA 375
KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2
only annotated on alternate loci in reference assembly
ACAT1	acetyl-CoA acetyltransferase 1
ACAT1 (GeneID 38) and SOAT1 (GeneID 6646) loci share the ACAT1 symbol/alias in common. ACAT1 is widely used alternative name for acyl-Coenzyme A: cholesterol acyltransferase 1 (SOAT1) conflicting with the official symbol for acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) (ACAT1). [13 Feb 2013]
ARNTL	aryl hydrocarbon receptor nuclear translocator like
CBLB	Cbl proto-oncogene B
CEL	carboxyl ester lipase
CHRNB4	cholinergic receptor nicotinic beta 4 subunit
EXT2	exostosin glycosyltransferase 2
FBLN1	fibulin 1
G6PC	glucose-6-phosphatase catalytic subunit
GCLC	glutamate-cysteine ligase catalytic subunit
GPX3	glutathione peroxidase 3
FOXA2	forkhead box A2
IRF8	interferon regulatory factor 8
ILF3	interleukin enhancer binding factor 3
NEUROD1	neuronal differentiation 1
SERPINF2	serpin family F member 2
PLIN1	perilipin 1
PSMB8	proteasome subunit beta 8
PTGIR	prostaglandin I2 (prostacyclin) receptor (IP)
PTGIS	prostaglandin I2 synthase
PTMA	prothymosin, alpha
REG1A	regenerating family member 1 alpha
SELENOP	selenoprotein P
SLC2A2	solute carrier family 2 member 2
SLC18A2	solute carrier family 18 member A2
SLC22A2	solute carrier family 22 member 2
TNFRSF4	TNF receptor superfamily member 4
VIPR1	vasoactive intestinal peptide receptor 1
YES1	YES proto-oncogene 1, Src family tyrosine kinase
AOC3	amine oxidase, copper containing 3
SLC4A4	solute carrier family 4 member 4
TNFSF14	TNF superfamily member 14
SACS	sacsin molecular chaperone
NPC1L1	NPC1 like intracellular cholesterol transporter 1
TRIB3	tribbles pseudokinase 3
HRH4	histamine receptor H4
ABCG8	ATP binding cassette subfamily G member 8
TMPRSS6	transmembrane protease, serine 6
MIR182	microRNA 182
hsa-mir-182
MIR20A	microRNA 20a
SLC25A4	solute carrier family 25 member 4
APOD	apolipoprotein D
AVPR1A	arginine vasopressin receptor 1A
CA1	carbonic anhydrase 1
CALM2	calmodulin 2
CD69	CD69 molecule
CPS1	carbamoyl-phosphate synthase 1
CPT1A	carnitine palmitoyltransferase 1A
CRHR2	corticotropin releasing hormone receptor 2
GJA4	gap junction protein alpha 4
GRK5	G protein-coupled receptor kinase 5
GPX4	glutathione peroxidase 4
HK1	hexokinase 1
HLA-DMB	major histocompatibility complex, class II, DM beta
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
IGFBP4	insulin like growth factor binding protein 4
ITGB6	integrin subunit beta 6
KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1
only annotated on alternate loci in reference assembly
KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4
LTBR	lymphotoxin beta receptor
MFGE8	milk fat globule-EGF factor 8 protein
MMP10	matrix metallopeptidase 10
NUDT1	nudix hydrolase 1
MTNR1A	melatonin receptor 1A
NPR2	natriuretic peptide receptor 2
NRF1	nuclear respiratory factor 1
P2RX1	purinergic receptor P2X 1
PGC	progastricsin
PLAGL1	PLAG1 like zinc finger 1
MASP1	mannan binding lectin serine peptidase 1
PSMA6	proteasome subunit alpha 6
RORC	RAR related orphan receptor C
ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
SLC2A3	solute carrier family 2 member 3
SUV39H1	suppressor of variegation 3-9 homolog 1
TPI1	triosephosphate isomerase 1
PEA15	phosphoprotein enriched in astrocytes 15
MAP3K14	mitogen-activated protein kinase kinase kinase 14
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
HDAC9	histone deacetylase 9
FGF19	fibroblast growth factor 19
CALCRL	calcitonin receptor like receptor
IGF2BP1	insulin like growth factor 2 mRNA binding protein 1
NFAT5	nuclear factor of activated T-cells 5
PPP1R13L	protein phosphatase 1 regulatory subunit 13 like
ESM1	endothelial cell specific molecule 1
POLI	DNA polymerase iota
TAB2	TGF-beta activated kinase 1/MAP3K7 binding protein 2
LPIN1	lipin 1
GNL3	G protein nucleolar 3
BSCL2	BSCL2, seipin lipid droplet biogenesis associated
PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2
BCL11A	B-cell CLL/lymphoma 11A
UGT1A7	UDP glucuronosyltransferase family 1 member A7
MEG3	maternally expressed 3 (non-protein coding)
Very putative protein from MEG3 locus	long intergenic non-protein coding RNA 23
TWNK	twinkle mtDNA helicase
ABCG5	ATP binding cassette subfamily G member 5
MIR100	microRNA 100
hsa-mir-100
MIR101-1	microRNA 101-1
hsa-mir-101-1
PLIN2	perilipin 2
AIF1	allograft inflammatory factor 1
AMY1A	amylase, alpha 1A (salivary)
ANK1	ankyrin 1
AQP9	aquaporin 9
ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
BLK	BLK proto-oncogene, Src family tyrosine kinase
CAV2	caveolin 2
ESRRG	estrogen related receptor gamma
GIP	gastric inhibitory polypeptide
GLUL	glutamate-ammonia ligase
GNB1	G protein subunit beta 1
CXCL2	C-X-C motif chemokine ligand 2
HAS2	hyaluronan synthase 2
HLA-DMA	major histocompatibility complex, class II, DM alpha
HSPB2	heat shock protein family B (small) member 2
IL12RB2	interleukin 12 receptor subunit beta 2
IMPDH2	inosine monophosphate dehydrogenase 2
LNPEP	leucyl and cystinyl aminopeptidase
MT1A	metallothionein 1A
PPP1R12A	protein phosphatase 1 regulatory subunit 12A
NNMT	nicotinamide N-methyltransferase
NPY2R	neuropeptide Y receptor Y2
PBX1	PBX homeobox 1
RDX	radixin
SLAMF1	signaling lymphocytic activation molecule family member 1
SLC10A2	solute carrier family 10 member 2
TFAP2B	transcription factor AP-2 beta
UGT2B15	UDP glucuronosyltransferase family 2 member B15
WISP1	WNT1 inducible signaling pathway protein 1
NCR1	natural cytotoxicity triggering receptor 1
DLL1	delta like canonical Notch ligand 1
IL19	interleukin 19
MLXIPL	MLX interacting protein like
BTNL2	butyrophilin like 2
NOX5	NADPH oxidase 5
NEIL1	nei like DNA glycosylase 1
SUMO4	small ubiquitin-like modifier 4
MIR9-1	microRNA 9-1
APLNR	apelin receptor
ALDH7A1	aldehyde dehydrogenase 7 family member A1
BHMT	betaine--homocysteine S-methyltransferase
BMP1	bone morphogenetic protein 1
CACNA1D	calcium voltage-gated channel subunit alpha1 D
CALD1	caldesmon 1
CTH	cystathionine gamma-lyase
DBI	diazepam binding inhibitor, acyl-CoA binding protein
F13B	coagulation factor XIII B chain
FABP5	fatty acid binding protein 5
FBP1	fructose-bisphosphatase 1
FFAR1	free fatty acid receptor 1
GRB10	growth factor receptor bound protein 10
HYAL1	hyaluronoglucosaminidase 1
IGHE	immunoglobulin heavy constant epsilon
constant region of heavy chain of IgE	immunoglobulin epsilon
ISL1	ISL LIM homeobox 1
ITPR3	inositol 1,4,5-trisphosphate receptor type 3
KCNJ10	potassium voltage-gated channel subfamily J member 10
KLRD1	killer cell lectin like receptor D1
MAF	MAF bZIP transcription factor
MUSK	muscle associated receptor tyrosine kinase
MYL2	myosin light chain 2
MYO9B	myosin IXB
CFP	complement factor properdin
PPP2R2A	protein phosphatase 2 regulatory subunit Balpha
PSMD9	proteasome 26S subunit, non-ATPase 9
PTPRD	protein tyrosine phosphatase, receptor type D
SDHA	succinate dehydrogenase complex flavoprotein subunit A
SFRP4	secreted frizzled related protein 4
KLF10	Kruppel like factor 10
ALMS1	ALMS1, centrosome and basal body associated protein
DDX39B	DExD-box helicase 39B
NR4A3	nuclear receptor subfamily 4 group A member 3
EEA1	early endosome antigen 1
SOCS2	suppressor of cytokine signaling 2
ARHGEF7	Rho guanine nucleotide exchange factor 7
RGN	regucalcin
SLC16A4	solute carrier family 16 member 4
SLC23A2	solute carrier family 23 member 2
SH2B3	SH2B adaptor protein 3
TRIB1	tribbles pseudokinase 1
PEMT	phosphatidylethanolamine N-methyltransferase
SLC19A2	solute carrier family 19 member 2
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
DDAH2	dimethylarginine dimethylaminohydrolase 2
DDAH1	dimethylarginine dimethylaminohydrolase 1
SND1	staphylococcal nuclease and tudor domain containing 1
ANGPTL3	angiopoietin like 3
RNLS	renalase, FAD dependent amine oxidase
SELENOS	selenoprotein S
ANGPTL8	angiopoietin like 8
ANKH	ANKH inorganic pyrophosphate transport regulator
CCAR2	cell cycle and apoptosis regulator 2
SETD7	SET domain containing lysine methyltransferase 7
ORMDL3	ORMDL sphingolipid biosynthesis regulator 3
LAMA1	laminin subunit alpha 1
MIR19A	microRNA 19a
MIR23A	microRNA 23a
MIR93	microRNA 93
ACACA	acetyl-CoA carboxylase alpha
ACLY	ATP citrate lyase
AGRP	agouti related neuropeptide
RND3	Rho family GTPase 3
CPE	carboxypeptidase E
CRY2	cryptochrome circadian clock 2
DACH1	dachshund family transcription factor 1
ETV1	ETS variant 1
GIPR	gastric inhibitory polypeptide receptor
RAPGEF1	Rap guanine nucleotide exchange factor 1
GYS1	glycogen synthase 1
HSPE1	heat shock protein family E (Hsp10) member 1
KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1
PAX4	paired box 4
PENK	proenkephalin
PON3	paraoxonase 3
PRSS2	protease, serine 2
PTPRF	protein tyrosine phosphatase, receptor type F
PVT1	Pvt1 oncogene (non-protein coding)
Oncogene PVT-1 (MYC activator)	long intergenic non-protein coding RNA 79	plasmacytoma variant translocation 1	pvt-1 (murine) oncogene homolog, MYC activator
SLC6A6	solute carrier family 6 member 6
SLC22A3	solute carrier family 22 member 3
TCF7	transcription factor 7 (T-cell specific, HMG-box)
CUBN	cubilin
FCN3	ficolin 3
CYP7B1	cytochrome P450 family 7 subfamily B member 1
GPNMB	glycoprotein nmb
PRDX4	peroxiredoxin 4
CD2AP	CD2 associated protein
APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
IL20	interleukin 20
UGT1A4	UDP glucuronosyltransferase family 1 member A4
PBRM1	polybromo 1
DCD	dermcidin
CYP2R1	cytochrome P450 family 2 subfamily R member 1
PPARGC1B	PPARG coactivator 1 beta
CTCFL	CCCTC-binding factor like
MIR130A	microRNA 130a
hsa-mir-130a
MIR24-1	microRNA 24-1
hsa-mir-24-1	microRNA-24
ACACB	acetyl-CoA carboxylase beta
ALPI	alkaline phosphatase, intestinal
CACNA1E	calcium voltage-gated channel subunit alpha1 E
CTSH	cathepsin H
DEFA3	defensin alpha 3
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
GAP43	growth associated protein 43
GCGR	glucagon receptor
GFPT1	glutamine--fructose-6-phosphate transaminase 1
GOT1	glutamic-oxaloacetic transaminase 1
HINT1	histidine triad nucleotide binding protein 1
HLA-DOA	major histocompatibility complex, class II, DO alpha
IL1RAP	interleukin 1 receptor accessory protein
INSIG1	insulin induced gene 1
LPP	LIM domain containing preferred translocation partner in lipoma
PCK1	phosphoenolpyruvate carboxykinase 1
PCNT	pericentrin
PCSK2	proprotein convertase subtilisin/kexin type 2
PDE3A	phosphodiesterase 3A
SERPINA4	serpin family A member 4
PRKCSH	protein kinase C substrate 80K-H
LGMN	legumain
PTPRM	protein tyrosine phosphatase, receptor type M
PTPRN	protein tyrosine phosphatase, receptor type N
STX4	syntaxin 4
STXBP2	syntaxin binding protein 2
TLE1	transducin like enhancer of split 1
UGT1A	UDP glucuronosyltransferase family 1 member A complex locus
UDP glucuronosyltransferase 1 family, polypeptide A cluster	UDP glucuronosyltransferase 1 family, polypeptide A complex locus	UDP glycosyltransferase 1 family, polypeptide A cluster
CNBP	CCHC-type zinc finger nucleic acid binding protein
KLF11	Kruppel like factor 11
MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1
VPS26A	VPS26, retromer complex component A
MTSS1	MTSS1, I-BAR domain containing
ELMO1	engulfment and cell motility 1
ABCC5	ATP binding cassette subfamily C member 5
CORIN	corin, serine peptidase
KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1 (non-protein coding)
KCNQ1 antisense RNA 2 (non-protein coding)	KCNQ1 overlapping transcript 1 (non-protein coding)	long QT intronic transcript 1
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1
CLEC16A	C-type lectin domain containing 16A
ARHGEF12	Rho guanine nucleotide exchange factor 12
ANGPTL2	angiopoietin like 2
TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2
PRKD2	protein kinase D2
TNRC6A	trinucleotide repeat containing 6A
ERO1A	endoplasmic reticulum oxidoreductase 1 alpha
UGT1A10	UDP glucuronosyltransferase family 1 member A10
AHI1	Abelson helper integration site 1
G6PC2	glucose-6-phosphatase catalytic subunit 2
BACH2	BTB domain and CNC homolog 2
IL25	interleukin 25
ARID5B	AT-rich interaction domain 5B
TRPM6	transient receptor potential cation channel subfamily M member 6
CRTC2	CREB regulated transcription coactivator 2
LIPH	lipase H
JAZF1	JAZF zinc finger 1
MIR144	microRNA 144
hsa-mir-144
MIR185	microRNA 185
hsa-mir-185
MIR192	microRNA 192
hsa-mir-192
MIR27B	microRNA 27b
hsa-mir-27b
MIR7-1	microRNA 7-1
miR-7-5p
ADCY5	adenylate cyclase 5
AMY2A	amylase, alpha 2A (pancreatic)
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
CAMK2D	calcium/calmodulin dependent protein kinase II delta
CD48	CD48 molecule
CTF1	cardiotrophin 1
DGUOK	deoxyguanosine kinase
MNX1	motor neuron and pancreas homeobox 1
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2
KCNJ8	potassium voltage-gated channel subfamily J member 8
MEST	mesoderm specific transcript
NDUFS4	NADH:ubiquinone oxidoreductase subunit S4
REG3A	regenerating family member 3 alpha
PC	pyruvate carboxylase
PCCA	propionyl-CoA carboxylase alpha subunit
PDK1	pyruvate dehydrogenase kinase 1
PDK2	pyruvate dehydrogenase kinase 2
PDK4	pyruvate dehydrogenase kinase 4
PSMB1	proteasome subunit beta 1
SFRP5	secreted frizzled related protein 5
SLC5A2	solute carrier family 5 member 2
SUOX	sulfite oxidase
SURF1	SURF1, cytochrome c oxidase assembly factor
VRK1	vaccinia related kinase 1
TNFRSF18	TNF receptor superfamily member 18
TXNRD2	thioredoxin reductase 2
FAF1	Fas associated factor 1
MGLL	monoglyceride lipase
PHGDH	phosphoglycerate dehydrogenase
LGALS13	galectin 13
IL21R	interleukin 21 receptor
UGT1A8	UDP glucuronosyltransferase family 1 member A8
PDGFC	platelet derived growth factor C
SRR	serine racemase
THADA	THADA, armadillo repeat containing
SLC19A3	solute carrier family 19 member 3
CNDP1	carnosine dipeptidase 1
JMJD1C	jumonji domain containing 1C
FFAR4	free fatty acid receptor 4
AQP7	aquaporin 7
AVPR1B	arginine vasopressin receptor 1B
BTC	betacellulin
CHN2	chimerin 2
CMKLR1	chemerin chemokine-like receptor 1
DIO3	iodothyronine deiodinase 3
EPHA7	EPH receptor A7
FDFT1	farnesyl-diphosphate farnesyltransferase 1
FYB	FYN binding protein
GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2
GOT2	glutamic-oxaloacetic transaminase 2
UTS2R	urotensin 2 receptor
FFAR2	free fatty acid receptor 2
GSTA4	glutathione S-transferase alpha 4
HADH	hydroxyacyl-CoA dehydrogenase
NFATC3	nuclear factor of activated T-cells 3
NFATC4	nuclear factor of activated T-cells 4
NFKBIL1	NFKB inhibitor like 1
PAM	peptidylglycine alpha-amidating monooxygenase
PPY	pancreatic polypeptide
PKN2	protein kinase N2
CCL23	C-C motif chemokine ligand 23
SGCG	sarcoglycan gamma
SI	sucrase-isomaltase
SORD	sorbitol dehydrogenase
TALDO1	transaldolase 1
MADD	MAP kinase activating death domain
DGAT1	diacylglycerol O-acyltransferase 1
PRC1	protein regulator of cytokinesis 1
MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
ARHGEF11	Rho guanine nucleotide exchange factor 11
TBC1D4	TBC1 domain family member 4
FSTL3	follistatin like 3
SORBS1	sorbin and SH3 domain containing 1
MGEA5	meningioma expressed antigen 5 (hyaluronidase)
ALDH1L1	aldehyde dehydrogenase 1 family member L1
CTRC	chymotrypsin C
ATP6V0A2	ATPase H+ transporting V0 subunit a2
LPAR3	lysophosphatidic acid receptor 3
C5AR2	complement component 5a receptor 2
PCLO	piccolo presynaptic cytomatrix protein
NEUROG3	neurogenin 3
UGT1A3	UDP glucuronosyltransferase family 1 member A3
SLC47A1	solute carrier family 47 member 1
SOX6	SRY-box 6
POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
CISD1	CDGSH iron sulfur domain 1
SLC22A11	solute carrier family 22 member 11
GSDMB	gasdermin B
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
HPSE2	heparanase 2 (inactive)
STEAP4	STEAP4 metalloreductase
TIMD4	T-cell immunoglobulin and mucin domain containing 4
KIF6	kinesin family member 6
GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
MIR320A	microRNA 320a
hsa-mir-320	microRNA 320
ADCY3	adenylate cyclase 3
ASIP	agouti signaling protein
BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
CBR3	carbonyl reductase 3
CTSV	cathepsin V
EMX2	empty spiracles homeobox 2
ACSL1	acyl-CoA synthetase long-chain family member 1
GANC	glucosidase alpha, neutral C
GRB14	growth factor receptor bound protein 14
ICA1	islet cell autoantigen 1
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1
PDE3B	phosphodiesterase 3B
PGM1	phosphoglucomutase 1
REG1B	regenerating family member 1 beta
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator
RREB1	ras responsive element binding protein 1
SCG5	secretogranin V
SYN2	synapsin II
TSPAN8	tetraspanin 8
UBE2E2	ubiquitin conjugating enzyme E2 E2
PRRC2A	proline rich coiled-coil 2A
BRAP	BRCA1 associated protein
VNN1	vanin 1
THRAP3	thyroid hormone receptor associated protein 3
RASGRP1	RAS guanyl releasing protein 1
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
NRG3	neuregulin 3
NMU	neuromedin U
LARS2	leucyl-tRNA synthetase 2, mitochondrial
CELA3B	chymotrypsin like elastase family member 3B
SLC39A6	solute carrier family 39 member 6
PARL	presenilin associated rhomboid like
CIDEC	cell death inducing DFFA like effector c
SLC2A10	solute carrier family 2 member 10
TP53INP1	tumor protein p53 inducible nuclear protein 1
TMEM18	transmembrane protein 18
MIR483	microRNA 483
CDK11A	cyclin dependent kinase 11A
ZFP36L1	ZFP36 ring finger protein like 1
CASQ1	calsequestrin 1
CIDEA	cell death-inducing DFFA-like effector a
FABP6	fatty acid binding protein 6
FDX1	ferredoxin 1
FOSL2	FOS like 2, AP-1 transcription factor subunit
INSM1	INSM transcriptional repressor 1
KIFC1	kinesin family member C1
LMX1A	LIM homeobox transcription factor 1 alpha
LY75	lymphocyte antigen 75
MAN2A1	mannosidase alpha class 2A member 1
MT1F	metallothionein 1F
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3
NNAT	neuronatin
OGN	osteoglycin
OXCT1	3-oxoacid CoA-transferase 1
PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2
PSD	pleckstrin and Sec7 domain containing
PTPRN2	protein tyrosine phosphatase, receptor type N2
PTPRS	protein tyrosine phosphatase, receptor type S
PYGL	glycogen phosphorylase L
RGS7	regulator of G protein signaling 7
CLRN1	clarin 1
OASL	2'-5'-oligoadenylate synthetase like
STX8	syntaxin 8
PSMD6	proteasome 26S subunit, non-ATPase 6
DEAF1	DEAF1, transcription factor
RAB11FIP2	RAB11 family interacting protein 2
FAIM2	Fas apoptotic inhibitory molecule 2
GPSM1	G protein signaling modulator 1
VPS33B	VPS33B, late endosome and lysosome associated
RPS6KA6	ribosomal protein S6 kinase A6
KLF15	Kruppel like factor 15
KCNIP1	potassium voltage-gated channel interacting protein 1
ADA2	adenosine deaminase 2
UBASH3A	ubiquitin associated and SH3 domain containing A
SLC29A3	solute carrier family 29 member 3
RGMA	repulsive guidance molecule family member a
CAMK1D	calcium/calmodulin dependent protein kinase ID
ZMIZ1	zinc finger MIZ-type containing 1
GJD2	gap junction protein delta 2
EXOC4	exocyst complex component 4
FN3K	fructosamine 3 kinase
STRA6	stimulated by retinoic acid 6
AGXT2	alanine--glyoxylate aminotransferase 2
WNT5B	Wnt family member 5B
DGAT2	diacylglycerol O-acyltransferase 2
DPP9	dipeptidyl peptidase 9
UCN3	urocortin 3
C1QTNF3	C1q and TNF related 3
