ADRB2	adrenoceptor beta 2
TMEM106B	transmembrane protein 106B
SMPD3	sphingomyelin phosphodiesterase 3
KIDINS220	kinase D interacting substrate 220
DEPTOR	DEP domain containing MTOR interacting protein
FTMT	ferritin mitochondrial
TP53INP1	tumor protein p53 inducible nuclear protein 1
KCNV2	potassium voltage-gated channel modifier subfamily V member 2
STH	saitohin
SGMS1	sphingomyelin synthase 1
ALDOC	aldolase, fructose-bisphosphate C
CORT	cortistatin
COX10	COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor
CTNNA2	catenin alpha 2
DOCK2	dedicator of cytokinesis 2
GFRA2	GDNF family receptor alpha 2
MAN2A1	mannosidase alpha class 2A member 1
MEOX2	mesenchyme homeobox 2
MLN	motilin
PLXNA1	plexin A1
PPP1R10	protein phosphatase 1 regulatory subunit 10
ALDH18A1	aldehyde dehydrogenase 18 family member A1
PZP	PZP, alpha-2-macroglobulin like
RPN2	ribophorin II
ATXN8OS	ATXN8 opposite strand (non-protein coding)
ataxin 8 opposite strand	kelch-like 1 antisense	non-protein coding RNA 3
SLC8A3	solute carrier family 8 member A3
SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
TNFAIP1	TNF alpha induced protein 1
SLC30A1	solute carrier family 30 member 1
SLC30A4	solute carrier family 30 member 4
MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5
DNAH11	dynein axonemal heavy chain 11
HRK	harakiri, BCL2 interacting protein
NAE1	NEDD8 activating enzyme E1 subunit 1
DLGAP1	DLG associated protein 1
SLC25A27	solute carrier family 25 member 27
STX8	syntaxin 8
ECE2	endothelin converting enzyme 2
SNAP91	synaptosome associated protein 91
TOM1	target of myb1 membrane trafficking protein
SPON1	spondin 1
ADAP1	ArfGAP with dual PH domains 1
RRAS2	related RAS viral (r-ras) oncogene homolog 2
PAXIP1	PAX interacting protein 1
PDS5B	PDS5 cohesin associated factor B
ARC	activity regulated cytoskeleton associated protein
ADNP	activity dependent neuroprotector homeobox
LDOC1	LDOC1, regulator of NFKB signaling
PCDH11X	protocadherin 11 X-linked
PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor
SOCS7	suppressor of cytokine signaling 7
RASD1	ras related dexamethasone induced 1
SLC30A10	solute carrier family 30 member 10
FRMD4A	FERM domain containing 4A
ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B
DUSP22	dual specificity phosphatase 22
MARK4	microtubule affinity regulating kinase 4
EXOC4	exocyst complex component 4
ZBP1	Z-DNA binding protein 1
PCDH11Y	protocadherin 11 Y-linked
TLN2	talin 2
COL25A1	collagen type XXV alpha 1 chain
PTPN5	protein tyrosine phosphatase, non-receptor type 5
CHRFAM7A	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion
SORCS1	sortilin related VPS10 domain containing receptor 1
MPP7	membrane palmitoylated protein 7
ARID2	AT-rich interaction domain 2
STOX1	storkhead box 1
TGM6	transglutaminase 6
CISD2	CDGSH iron sulfur domain 2
APBB2	amyloid beta precursor protein binding family B member 2
SEPT1	septin 1
GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit
ITPKB	inositol-trisphosphate 3-kinase B
NINJ2	ninjurin 2
OGDH	oxoglutarate dehydrogenase
RNPEP	arginyl aminopeptidase
VAMP1	vesicle associated membrane protein 1
CCRL2	C-C motif chemokine receptor like 2
APBA3	amyloid beta precursor protein binding family A member 3
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
GPC6	glypican 6
PITRM1	pitrilysin metallopeptidase 1
SCGN	secretagogin, EF-hand calcium binding protein
CDC42EP3	CDC42 effector protein 3
PDIA5	protein disulfide isomerase family A member 5
CLSTN1	calsyntenin 1
DNMBP	dynamin binding protein
QPRT	quinolinate phosphoribosyltransferase
PLD3	phospholipase D family member 3
PDE7B	phosphodiesterase 7B
UTP20	UTP20, small subunit processome component
SCG3	secretogranin III
SAR1B	secretion associated Ras related GTPase 1B
ACKR4	atypical chemokine receptor 4
LIMS2	LIM zinc finger domain containing 2
FMN2	formin 2
SLC17A7	solute carrier family 17 member 7
MMEL1	membrane metalloendopeptidase like 1
PPP1R3B	protein phosphatase 1 regulatory subunit 3B
RNF146	ring finger protein 146
MEGF10	multiple EGF like domains 10
AZIN2	antizyme inhibitor 2
MAL2	mal, T-cell differentiation protein 2 (gene/pseudogene)
CCDC50	coiled-coil domain containing 50
SLC2A12	solute carrier family 2 member 12
PRUNE2	prune homolog 2
GLIS3	GLIS family zinc finger 3
SLC9A9	solute carrier family 9 member A9
C21orf2	chromosome 21 open reading frame 2
MS4A3	membrane spanning 4-domains A3
CDR1	cerebellar degeneration related protein 1
COX15	COX15, cytochrome c oxidase assembly homolog
CYB561	cytochrome b561
DMXL1	Dmx like 1
GPR3	G protein-coupled receptor 3
MGST3	microsomal glutathione S-transferase 3
MOBP	myelin-associated oligodendrocyte basic protein
NCAM2	neural cell adhesion molecule 2
CDK17	cyclin dependent kinase 17
CDK18	cyclin dependent kinase 18
S100A5	S100 calcium binding protein A5
SUCLG2	succinate-CoA ligase GDP-forming beta subunit
PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q
SCAF11	SR-related CTD associated factor 11
TRIP4	thyroid hormone receptor interactor 4
SLC4A8	solute carrier family 4 member 8
SCAMP1	secretory carrier membrane protein 1
ZNF592	zinc finger protein 592
ST18	ST18, C2H2C-type zinc finger
HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D
APPBP2	amyloid beta precursor protein binding protein 2
ARPP19	cAMP regulated phosphoprotein 19
SORCS3	sortilin related VPS10 domain containing receptor 3
MYO16	myosin XVI
HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
PRRC2C	proline rich coiled-coil 2C
ASTN2	astrotactin 2
TSPAN13	tetraspanin 13
SLC2A8	solute carrier family 2 member 8
NRN1	neuritin 1
NME8	NME/NM23 family member 8
DCHS2	dachsous cadherin-related 2
BCAS3	BCAS3, microtubule associated cell migration factor
UBE2Q1	ubiquitin conjugating enzyme E2 Q1
SLC30A6	solute carrier family 30 member 6
CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase
TSHZ3	teashirt zinc finger homeobox 3
SAP30L	SAP30 like
RIN3	Ras and Rab interactor 3
TTBK1	tau tubulin kinase 1
SPPL2A	signal peptide peptidase like 2A
PLXNA4	plexin A4
FRMD6	FERM domain containing 6
SOCS4	suppressor of cytokine signaling 4
SLC24A4	solute carrier family 24 member 4
MRPL10	mitochondrial ribosomal protein L10
NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6
CACUL1	CDK2 associated cullin domain 1
NKAIN2	sodium/potassium transporting ATPase interacting 2
TUSC1	tumor suppressor candidate 1
KCNT2	potassium sodium-activated channel subfamily T member 2
LRRTM3	leucine rich repeat transmembrane neuronal 3
MIR103A1	microRNA 103a-1
hsa-mir-103-1	hsa-mir-103a-1	microRNA 103-1
MIR603	microRNA 603
FAM72A	family with sequence similarity 72 member A
BACE1-AS	BACE1 antisense RNA
BACE1 antisense RNA (non-protein coding)
SLC8A2	solute carrier family 8 member A2
APBB3	amyloid beta precursor protein binding family B member 3
ARPP21	cAMP regulated phosphoprotein 21
ZPBP	zona pellucida binding protein
DIP2C	disco interacting protein 2 homolog C
ZNF292	zinc finger protein 292
EFR3A	EFR3 homolog A
UBXN4	UBX domain protein 4
NPTXR	neuronal pentraxin receptor
KCTD2	potassium channel tetramerization domain containing 2
PPIL2	peptidylprolyl isomerase like 2
BZW2	basic leucine zipper and W2 domains 2
STXBP6	syntaxin binding protein 6
SNX12	sorting nexin 12
GSAP	gamma-secretase activating protein
STK32B	serine/threonine kinase 32B
CASS4	Cas scaffolding protein family member 4
ALPK3	alpha kinase 3
ARHGAP20	Rho GTPase activating protein 20
NEUROD6	neuronal differentiation 6
MS4A6A	membrane spanning 4-domains A6A
ANKRD55	ankyrin repeat domain 55
CLMN	calmin
TREML2	triggering receptor expressed on myeloid cells like 2
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20
TM2D1	TM2 domain containing 1
DCUN1D5	defective in cullin neddylation 1 domain containing 5
EXOC3L2	exocyst complex component 3 like 2
OSBPL7	oxysterol binding protein like 7
LRRC15	leucine rich repeat containing 15
HECTD2	HECT domain E3 ubiquitin protein ligase 2
CLVS1	clavesin 1
SLC10A4	solute carrier family 10 member 4
LEMD2	LEM domain containing 2
UTS2B	urotensin 2B
ZNF326	zinc finger protein 326
C20orf203	chromosome 20 open reading frame 203
NME9	NME/NM23 family member 9
AMIGO2	adhesion molecule with Ig like domain 2
CEACAM16	carcinoembryonic antigen related cell adhesion molecule 16
LHFPL2	lipoma HMGIC fusion partner-like 2
RIMBP2	RIMS binding protein 2
SIDT2	SID1 transmembrane family member 2
CDKN2A-AS1	CDKN2A antisense RNA 1 (head to head)
susceptibility protein NSG-x
MS4A4A	membrane spanning 4-domains A4A
ZCWPW1	zinc finger CW-type and PWWP domain containing 1
PLEKHG1	pleckstrin homology and RhoGEF domain containing G1
VAT1L	vesicle amine transport 1 like
TTLL7	tubulin tyrosine ligase like 7
ECHDC3	enoyl-CoA hydratase domain containing 3
TM2D3	TM2 domain containing 3
SP6	Sp6 transcription factor
BHLHB9	basic helix-loop-helix family member b9
RNFT2	ring finger protein, transmembrane 2
FANCD2OS	FANCD2 opposite strand
ANO4	anoctamin 4
TDRD10	tudor domain containing 10
SHE	Src homology 2 domain containing E
MROH8	maestro heat like repeat family member 8
STARD6	StAR related lipid transfer domain containing 6
ZNF320	zinc finger protein 320
PLPP4	phospholipid phosphatase 4
SLC44A5	solute carrier family 44 member 5
MS4A6E	membrane spanning 4-domains A6E
PPP1R37	protein phosphatase 1 regulatory subunit 37
C5orf64	chromosome 5 open reading frame 64
This locus is considered non-coding by other groups due to a lack of experimental support for the protein, but NCBI annotates the protein because it meets minimal RefSeq quality criteria for representation. The coding status remains uncertain. [19 Nov 2014]
EPHA1-AS1	EPHA1 antisense RNA 1
EPHA1 antisense RNA 1 (non-protein coding)
SCIMP	SLP adaptor and CSK interacting membrane protein
LINC01567	long intergenic non-protein coding RNA 1567
MS4A4E	membrane spanning 4-domains A4E
LINC01184	long intergenic non-protein coding RNA 1184
CTC-228N24.3
FAM72B	family with sequence similarity 72 member B
not in current annotation release
SNAR-I	small ILF3/NF90-associated RNA I
small ILF3/NF90-associated RNA 3
WTAPP1	Wilms tumor 1 associated protein pseudogene 1
LINC01848	long intergenic non-protein coding RNA 1848
MIR1275	microRNA 1275
PGAM5P1	PGAM family member 5, mitochondrial serine/threonine protein phosphatase pseudogene 1
phosphoglycerate mutase family member 5 pseudogene 1
ADAMTS9-AS2	ADAMTS9 antisense RNA 2
ADAMTS9 antisense RNA 2 (non-protein coding)	CTD-2230D16.1
LINC00423	long intergenic non-protein coding RNA 423
RNF219-AS1	RNF219 antisense RNA 1
POU4F1 antisense RNA 1 (non-protein coding)
LINC01080	long intergenic non-protein coding RNA 1080
Long intergenic noncoding RNA TCONS_00021856
LINC02141	long intergenic non-protein coding RNA 2141
LINC01725	long intergenic non-protein coding RNA 1725
LINC01492	long intergenic non-protein coding RNA 1492
LIPC-AS1	LIPC antisense RNA 1
MEF2C-AS1	MEF2C antisense RNA 1
CTC-454M9.1
MIR6843	microRNA 6843
microRNA mir-6843
